Cliente;Tipo de contrato;Vigência;Ativo;Data de expiração
3778 S.A. - ParanÃ¡;MSS;2025;Sim;30/06/2026
AG Capital;MSS;2023;Sim;30/04/2026
Ag Tax Ltda;MSS;2023;Sim;30/11/2025
Agafarma;MSS;2025;Sim;30/04/2026
Agafarma;Suporte;2022;Sim;30/06/2026
Auge Contadores S/S - Moreira Auditores - UHY;Suporte;2015;Sim;31/05/2026
AutoShow SC Veículos Ltda;Suporte;2018;Sim;28/02/2026
Auxiliadora Predial;MSS;2024;Sim;30/06/2026
Banco Agibank S.A;Outsourcing;2023;Sim;31/07/2026
Banco Agibank S.A;Suporte;2025;Sim;30/06/2027
Banco Digimais;Suporte;2011;Sim;28/02/2026
Bordas;Suporte;2023;Sim;31/01/2026
Buchabqui;Suporte;2022;Sim;30/09/2025
Cervosul;Suporte;2008;Sim;31/12/2025
Comissária Pibernat;MSS;2024;Sim;31/12/2025
Compasso;MSS;2023;Sim;31/03/2026
Compasso;Suporte;2013;Sim;31/03/2026
Connection Segurança e Gestão de TI;Suporte;2021;Sim;01/01/2030
Cortel;MSS;2022;Sim;30/11/2025
CPERS;Suporte;2023;Sim;31/01/2026
Datacom;MSS;2022;Sim;30/12/2025
Digitro Tecnologia;Suporte;2022;Sim;31/07/2026
Escritório Padre Reus;Suporte;2014;Sim;31/05/2026
Faraco, Azevedo e Muratt Advocacia Empresarial;Suporte;2023;Sim;30/01/2026
FunerÃ¡ria Valorize Santa Luzia Ltda. - METROPAX;MSS;2023;Sim;31/05/2026
Gatti Contabilidade S/S;Suporte;2023;Sim;30/01/2026
IBASA - Importadora Bage;MSS;2023;Sim;30/09/2025
IBCM Saúde e Assistência Social;Suporte;2022;Sim;31/07/2026
IESA Veículos;MSS;2023;Sim;31/01/2026
Involves Tecnologia;Suporte;2023;Sim;31/03/2026
Isma;MSS;2023;Sim;30/09/2025
Koerich;Suporte;2021;Sim;31/07/2026
Kredilig S.A CrÃ©dito, Financiamento e Investimento;Suporte;2021;Sim;31/07/2026
Linck MÃ¡quinas - Eldorado do Sul;Outsourcing;2010;Sim;30/06/2026
Linck MÃ¡quinas - Eldorado do Sul;Suporte;1998;Sim;31/03/2026
MBM;Suporte;2025;Sim;10/02/2026
MENEGOTTI TEXTIL;MSS;2022;Sim;30/11/2025
Mercatur Turismo e Viagens;Suporte;2022;Sim;30/10/2025
METROPAX S/A;MSS;2024;Sim;30/06/2026
PAC Contact Center Serviços de Call Center Ltda;MSS;2023;Sim;30/11/2025
PAC Contact Center Serviços de Call Center Ltda;Suporte;2011;Sim;30/04/2026
Paese;Suporte;2023;Sim;31/01/2026
Rainbow;MSS;2024;Sim;30/06/2026
Rede Verzeri - ASLB;MSS;2025;Sim;28/02/2026
Redebrasil;Suporte;2002;Sim;31/12/2025
Savar;MSS;2024;Sim;31/10/2025
Scalzilli;Suporte;2023;Sim;31/01/2026
Scherer Auto Peças SA;Suporte;2023;Sim;01/12/2025
SHS;MSS;2025;Sim;22/07/2026
SINCOR RGS;Suporte;2023;Sim;31/01/2026
Sindec - Sindicato dos Comerciarios;Suporte;2012;Sim;31/12/2025
Sindisprev;Suporte;2023;Sim;31/01/2026
Somar;Suporte;2023;Sim;31/01/2026
SPE CONSORCIO CORTEL SP S.A;MSS;2023;Sim;28/02/2026
Supermercados Angeloni;Suporte;2025;Sim;30/04/2026
Teixeira Duarte;Suporte;2024;Sim;30/06/2026
UDESC;Suporte;2020;Sim;26/11/2023
UFRGS;MSS;2022;Sim;31/05/2026
Unifertil Canoas;MSS;2024;Sim;31/07/2026
Unifertil Matriz;MSS;2023;Sim;31/01/2026
Unifertil Matriz;MSS;2025;Sim;31/07/2026
Unifertil Matriz;Suporte;2020;Sim;31/12/2025
Unifertil Paranaguá;MSS;2024;Sim;31/10/2025
Unifertil RG;MSS;2024;Sim;31/07/2026
Unifertil Unical;MSS;2025;Sim;31/07/2026
Vipal;MSS;2024;Sim;20/09/2025
Way2;MSS;2023;Sim;30/12/2025
Zanon Advogados;Suporte;2022;Sim;30/11/2025
